case_key,case_name,mc_mode,mc_iterations,repeat_id,elicitation_id,alternative,rank1_probability
01,01-port-selection-liang-et-al,strict,5000,4,0,Gdansk,0.0
01,01-port-selection-liang-et-al,strict,10000,0,0,Piraeus,0.0
01,01-port-selection-liang-et-al,strict,10000,0,0,Koper,0.0
01,01-port-selection-liang-et-al,strict,10000,0,0,Genoa,0.0
01,01-port-selection-liang-et-al,strict,10000,0,0,Antwerp,0.0
01,01-port-selection-liang-et-al,strict,10000,0,0,Rotterdam,1.0
01,01-port-selection-liang-et-al,strict,10000,0,0,Hamburg,0.0
01,01-port-selection-liang-et-al,strict,10000,0,0,Gdansk,0.0
01,01-port-selection-liang-et-al,strict,10000,1,0,Piraeus,0.0
01,01-port-selection-liang-et-al,strict,10000,1,0,Koper,0.0
01,01-port-selection-liang-et-al,strict,10000,1,0,Genoa,0.0
01,01-port-selection-liang-et-al,strict,10000,1,0,Antwerp,0.0
01,01-port-selection-liang-et-al,strict,10000,1,0,Rotterdam,1.0
01,01-port-selection-liang-et-al,strict,10000,1,0,Hamburg,0.0
01,01-port-selection-liang-et-al,strict,10000,1,0,Gdansk,0.0
01,01-port-selection-liang-et-al,strict,10000,2,0,Piraeus,0.0
01,01-port-selection-liang-et-al,strict,10000,2,0,Koper,0.0
01,01-port-selection-liang-et-al,strict,10000,2,0,Genoa,0.0
01,01-port-selection-liang-et-al,strict,10000,2,0,Antwerp,0.0
01,01-port-selection-liang-et-al,strict,10000,2,0,Rotterdam,1.0
01,01-port-selection-liang-et-al,strict,10000,2,0,Hamburg,0.0
01,01-port-selection-liang-et-al,strict,10000,2,0,Gdansk,0.0
01,01-port-selection-liang-et-al,strict,10000,3,0,Piraeus,0.0
01,01-port-selection-liang-et-al,strict,10000,3,0,Koper,0.0
01,01-port-selection-liang-et-al,strict,10000,3,0,Genoa,0.0
01,01-port-selection-liang-et-al,strict,10000,3,0,Antwerp,0.0
01,01-port-selection-liang-et-al,strict,10000,3,0,Rotterdam,1.0
01,01-port-selection-liang-et-al,strict,10000,3,0,Hamburg,0.0
01,01-port-selection-liang-et-al,strict,10000,3,0,Gdansk,0.0
01,01-port-selection-liang-et-al,strict,10000,4,0,Piraeus,0.0
01,01-port-selection-liang-et-al,strict,10000,4,0,Koper,0.0
01,01-port-selection-liang-et-al,strict,10000,4,0,Genoa,0.0
01,01-port-selection-liang-et-al,strict,10000,4,0,Antwerp,0.0
01,01-port-selection-liang-et-al,strict,10000,4,0,Rotterdam,1.0
01,01-port-selection-liang-et-al,strict,10000,4,0,Hamburg,0.0
01,01-port-selection-liang-et-al,strict,10000,4,0,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,50,0,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,50,0,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,50,0,pooled,Genoa,0.0
01,01-port-selection-liang-et-al,non_strict,50,0,pooled,Antwerp,0.0
01,01-port-selection-liang-et-al,non_strict,50,0,pooled,Rotterdam,1.0
01,01-port-selection-liang-et-al,non_strict,50,0,pooled,Hamburg,0.0
01,01-port-selection-liang-et-al,non_strict,50,0,pooled,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,50,1,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,50,1,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,50,1,pooled,Genoa,0.0
01,01-port-selection-liang-et-al,non_strict,50,1,pooled,Antwerp,0.0
01,01-port-selection-liang-et-al,non_strict,50,1,pooled,Rotterdam,1.0
01,01-port-selection-liang-et-al,non_strict,50,1,pooled,Hamburg,0.0
01,01-port-selection-liang-et-al,non_strict,50,1,pooled,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,50,2,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,50,2,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,50,2,pooled,Genoa,0.0
01,01-port-selection-liang-et-al,non_strict,50,2,pooled,Antwerp,0.0
01,01-port-selection-liang-et-al,non_strict,50,2,pooled,Rotterdam,1.0
01,01-port-selection-liang-et-al,non_strict,50,2,pooled,Hamburg,0.0
01,01-port-selection-liang-et-al,non_strict,50,2,pooled,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,50,3,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,50,3,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,50,3,pooled,Genoa,0.0
01,01-port-selection-liang-et-al,non_strict,50,3,pooled,Antwerp,0.0
01,01-port-selection-liang-et-al,non_strict,50,3,pooled,Rotterdam,1.0
01,01-port-selection-liang-et-al,non_strict,50,3,pooled,Hamburg,0.0
01,01-port-selection-liang-et-al,non_strict,50,3,pooled,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,50,4,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,50,4,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,50,4,pooled,Genoa,0.0
01,01-port-selection-liang-et-al,non_strict,50,4,pooled,Antwerp,0.0
01,01-port-selection-liang-et-al,non_strict,50,4,pooled,Rotterdam,1.0
01,01-port-selection-liang-et-al,non_strict,50,4,pooled,Hamburg,0.0
01,01-port-selection-liang-et-al,non_strict,50,4,pooled,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,100,0,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,100,0,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,100,0,pooled,Genoa,0.0
01,01-port-selection-liang-et-al,non_strict,100,0,pooled,Antwerp,0.0
01,01-port-selection-liang-et-al,non_strict,100,0,pooled,Rotterdam,1.0
01,01-port-selection-liang-et-al,non_strict,100,0,pooled,Hamburg,0.0
01,01-port-selection-liang-et-al,non_strict,100,0,pooled,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,100,1,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,100,1,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,100,1,pooled,Genoa,0.0
01,01-port-selection-liang-et-al,non_strict,100,1,pooled,Antwerp,0.0
01,01-port-selection-liang-et-al,non_strict,100,1,pooled,Rotterdam,1.0
01,01-port-selection-liang-et-al,non_strict,100,1,pooled,Hamburg,0.0
01,01-port-selection-liang-et-al,non_strict,100,1,pooled,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,100,2,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,100,2,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,100,2,pooled,Genoa,0.0
01,01-port-selection-liang-et-al,non_strict,100,2,pooled,Antwerp,0.0
01,01-port-selection-liang-et-al,non_strict,100,2,pooled,Rotterdam,1.0
01,01-port-selection-liang-et-al,non_strict,100,2,pooled,Hamburg,0.0
01,01-port-selection-liang-et-al,non_strict,100,2,pooled,Gdansk,0.0
01,01-port-selection-liang-et-al,non_strict,100,3,pooled,Piraeus,0.0
01,01-port-selection-liang-et-al,non_strict,100,3,pooled,Koper,0.0
01,01-port-selection-liang-et-al,non_strict,100,3,pooled,Genoa,0.0
01,01-port-selection-liang-et-al,non_strict,100,3,pooled,Antwerp,0.0
01,01-port-selection-liang-et-al,non_strict,100,3,pooled,Rotterdam,1.0
01,01-port-selection-liang-et-al,non_strict,100,3,pooled,Hamburg,0.0
