case_key,case_name,mc_mode,mc_iterations,repeat_id,wallclock_seconds
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,500,3,0.6151
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,500,4,0.6257
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,1000,0,1.2513
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,1000,1,1.2634
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,1000,2,1.2388
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,1000,3,1.2385
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,1000,4,1.2349
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,2000,0,2.4713
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,2000,1,2.5003
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,2000,2,2.4757
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,2000,3,2.5129
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,2000,4,2.4942
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,5000,0,6.2559
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,5000,1,6.2309
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,5000,2,6.2355
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,5000,3,6.1891
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,5000,4,6.2361
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,10000,0,12.496
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,10000,1,12.5423
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,10000,2,12.6274
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,10000,3,12.5413
03,03-nuclear-reactor-hierarchical-uncertain,non_strict,10000,4,12.5452
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,50,0,0.0021
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,50,1,0.0021
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,50,2,0.002
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,50,3,0.0021
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,50,4,0.002
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,100,0,0.0039
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,100,1,0.0039
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,100,2,0.0039
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,100,3,0.0039
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,100,4,0.0039
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,200,0,0.0082
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,200,1,0.0078
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,200,2,0.0077
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,200,3,0.0078
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,200,4,0.0077
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,500,0,0.0193
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,500,1,0.0193
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,500,2,0.019
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,500,3,0.0192
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,500,4,0.0186
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,1000,0,0.0382
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,1000,1,0.0374
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,1000,2,0.0372
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,1000,3,0.0376
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,1000,4,0.0369
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,2000,0,0.0754
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,2000,1,0.0758
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,2000,2,0.0757
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,2000,3,0.0755
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,2000,4,0.0755
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,5000,0,0.1964
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,5000,1,0.1954
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,5000,2,0.2036
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,5000,3,0.228
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,5000,4,0.2025
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,10000,0,0.4061
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,10000,1,0.4244
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,10000,2,0.4019
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,10000,3,0.4061
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,strict,10000,4,0.4102
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,50,0,0.0042
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,50,1,0.004
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,50,2,0.004
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,50,3,0.0041
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,50,4,0.0042
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,100,0,0.0097
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,100,1,0.0085
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,100,2,0.0085
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,100,3,0.0094
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,100,4,0.0114
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,200,0,0.02
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,200,1,0.0169
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,200,2,0.0155
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,200,3,0.0153
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,200,4,0.0152
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,500,0,0.0388
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,500,1,0.0394
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,500,2,0.0393
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,500,3,0.0391
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,500,4,0.0393
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,1000,0,0.0801
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,1000,1,0.0759
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,1000,2,0.0771
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,1000,3,0.076
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,1000,4,0.0757
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,2000,0,0.1539
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,2000,1,0.1547
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,2000,2,0.1554
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,2000,3,0.1528
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,2000,4,0.1555
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,5000,0,0.3977
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,5000,1,0.3954
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,5000,2,0.3945
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,5000,3,0.3937
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,5000,4,0.3932
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,10000,0,0.8024
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,10000,1,0.8073
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,10000,2,0.8357
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,10000,3,0.8183
04,04-tradeoff-elicitation-sun-kroesen-rezaei-2026,non_strict,10000,4,0.8061
05,05-analytically-tractable-verification,strict,50,0,0.0043
